id;melasse;paile;tourteau_tournesol;bettrave_sucriere;cmv;age_min;age_max
1;59531;21854;70081;32144;79400;84820;8296
2;45229;30412;39243;9062;32160;20042;56557
3;57413;84331;93560;79881;70093;77560;88467
4;70145;81097;29247;17489;57197;33967;77845
5;60707;53160;71084;90587;91730;78073;16741
6;89227;62053;18581;63783;48438;34692;3501
7;97871;87366;36952;68163;26072;88735;20174
8;456;61703;54675;80439;22100;70559;77174
9;69383;33076;95541;19194;55137;79944;92983
10;36764;49671;53135;1480;62762;49937;9622
