id;traitements_preventifs;soins;vaccins
1;Mouffetard;Syrie RSS;Account Bond
2;matrix Ergonomic Frozen;a;grid-enabled Licensed Alsace
3;Concrete;wireless Granite;Languedoc-Roussillon Stagiaire
4;Chaussée-d'Antin overriding;Developpeur Automated;b Berkshire Saint-Jacques
5;program;Producteur b Borders;Frozen
6;payment bypassing;CSS Bedfordshire Concrete;c Loan
7;copying navigate;actuating;Account line
8;Syrie;Concrete Naira Netherlands;Afghanistan firewall lavender
9;Bhoutan forecast Towels;port;Peso
10;c;migration;Automotive XML Nord-Pas-de-Calais
